"id";"name";"url";"typeid";"status"
"98";"anime4youth-v2.blogspot.com";"anime4youth-v2.blogspot.com";"1";"Enabled"
"99";"anonymous-redirect.com";"anonymous-redirect.com";"1";"Enabled"
"100";"anticrawler.org";"anticrawler.org";"1";"Enabled"
"101";"arab.adultnet.in";"arab.adultnet.in";"1";"Enabled"
"102";"arabgirls.adultgalls.com";"arabgirls.adultgalls.com";"1";"Enabled"
"103";"arate.ru";"arate.ru";"1";"Enabled"
"104";"archidom.info";"archidom.info";"1";"Enabled"
"105";"architecturebest.com";"architecturebest.com";"1";"Enabled"
"106";"arendakvartir.kz";"arendakvartir.kz";"1";"Enabled"
"107";"arkkivoltti.net";"arkkivoltti.net";"1";"Enabled"
"108";"artdeko.info";"artdeko.info";"1";"Enabled"
"109";"articledirectoryusa.com";"articledirectoryusa.com";"1";"Enabled"
"110";"articlescore.com";"articlescore.com";"1";"Enabled"
"111";"artip.ru";"artip.ru";"1";"Enabled"
"112";"artparquet.ru";"artparquet.ru";"1";"Enabled"
"113";"artphoto.name";"artphoto.name";"1";"Enabled"
"114";"aruplighting.com";"aruplighting.com";"1";"Enabled"
"115";"asicstech.com";"asicstech.com";"1";"Enabled"
"116";"astrakhan.xrus.org";"astrakhan.xrus.org";"1";"Enabled"
"117";"asylum.acornarcade.com";"asylum.acornarcade.com";"1";"Enabled"
"118";"atta.force.com";"atta.force.com";"1";"Enabled"
"119";"auto-moto-elektronika.cz";"auto-moto-elektronika.cz";"1";"Enabled"
"120";"auto-zapchasti.org";"auto-zapchasti.org";"1";"Enabled"
"121";"auto.rusvile.lt";"auto.rusvile.lt";"1";"Enabled"
"122";"auto4style.ru";"auto4style.ru";"1";"Enabled"
"123";"autobudpostach.club";"autobudpostach.club";"1";"Enabled"
"124";"autonew.biz";"autonew.biz";"1";"Enabled"
"125";"autotop.com.ua";"autotop.com.ua";"1";"Enabled"
"126";"autovideobroadcast.com";"autovideobroadcast.com";"1";"Enabled"
"127";"autowebmarket.com.ua";"autowebmarket.com.ua";"1";"Enabled"
"128";"aviva-limoux.com";"aviva-limoux.com";"1";"Enabled"
"129";"avtocredit-legko.ru";"avtocredit-legko.ru";"1";"Enabled"
"130";"azartclub.org";"azartclub.org";"1";"Enabled"
"131";"azartniy-bonus.com";"azartniy-bonus.com";"1";"Enabled"
"132";"azazu.ru";"azazu.ru";"1";"Enabled"
"133";"azbukadiets.ru";"azbukadiets.ru";"1";"Enabled"
"134";"azlex.uz";"azlex.uz";"1";"Enabled"
"135";"b99.co.uk";"b99.co.uk";"1";"Enabled"
"136";"backgroundpictures.net";"backgroundpictures.net";"1";"Enabled"
